# RIPTE - Remuneración imponible promedio de los trabajadores estables
# Organismo: Secretaria de Trabajo, Empleo y Seguridad Social - frecuencia: mensual
# serie_id: 158.1_REPTE_0_0_5
# Fuente: https://apis.datos.gob.ar/series/api/series/?ids=158.1_REPTE_0_0_5&format=csv&start_date=1994-07
# Descargado: 2026-09-13  (385 periodos, 1994-07 a 2026-07)
# Pesos corrientes.
# Es la serie que usa el art.
# 12 LRT texto Ley 27.348.
periodo,indice
2020-02,56386.47
2020-03,56872.86
2020-04,56955.63
2020-05,57057.9
2020-06,58361.93
2020-07,60440.53
2020-08,60767.23
2020-09,61909.95
2020-10,64756.23
2020-11,65571.77
2020-12,66869.88
2021-01,68100.73
2021-02,72293.4
2021-03,75809.13
2021-04,80501.97
2021-05,81464.51
2021-06,84513.57
2021-07,88274.02
2021-08,90340.08
2021-09,94157.71
2021-10,97538.78
2021-11,100590.14
2021-12,102589.87
2022-01,107358.35
2022-02,112413.82
2022-03,121220.45
2022-04,128406.32
2022-05,133595.77
2022-06,141289.4
2022-07,148811.85
2022-08,155611.28
2022-09,165421.01
2022-10,174436.9
2022-11,184210.25
2022-12,194175.11
2023-01,201580.26
2023-02,218543.91
2023-03,239882.73
2023-04,263481.22
2023-05,279820.37
2023-06,302562.69
2023-07,324997.28
2023-08,344057.43
2023-09,376594.32
2023-10,420706.55
2023-11,447079.57
2023-12,484298.4
2024-01,555269.16
2024-02,619007.05
2024-03,705832.58
2024-04,819501.72
2024-05,879483.08
2024-06,933179.85
2024-07,994681.38
2024-08,1032410.48
2024-09,1075145.08
2024-10,1146474.18
2024-11,1178925.33
2024-12,1202927.89
2025-01,1234658.4
2025-02,1310357.8
2025-03,1363510.33
2025-04,1402606.61
2025-05,1428661.3
2025-06,1468135.75
2025-07,1510680.81
2025-08,1530297.32
2025-09,1551831.75
2025-10,1593047.33
2025-11,1611851.61
2025-12,1633547.0
2026-01,1646344.54
2026-02,1734357.18
2026-03,1775664.12
2026-04,1837609.35
2026-05,1849727.96
2026-06,1915878.76
2026-07,1946028.12
