# CER - Coeficiente de Estabilización de Referencia (base 02/02/2002 = 1)
# Organismo: BCRA, via datos.gob.ar - frecuencia: diaria, colapsada a fin de mes
# serie_id: 94.2_CD_D_0_0_10
# Fuente: https://apis.datos.gob.ar/series/api/series/?ids=94.2_CD_D_0_0_10&format=csv&start_date=2016-12
# Descargado: 2026-09-13  (117 periodos, 2016-12 a 2026-08)
# La serie de datos.gob.ar suele atrasar unas dos semanas respecto del BCRA.
# Para el CER del dia, ir a la API del BCRA: https://api.bcra.gob.ar/estadisticas/v4.0/Monetarias/30 (variable 30, sin token; la v3.0 devuelve HTTP 410).
periodo,indice
2016-12,6.8378
2017-01,6.933
2017-02,7.015
2017-03,7.155
2017-04,7.3283
2017-05,7.5134
2017-06,7.657
2017-07,7.754
2017-08,7.865
2017-09,7.9854
2017-10,8.122
2017-11,8.26
2017-12,8.384312547388648
2018-01,8.576383150142041
2018-02,8.777597842205763
2018-03,8.97243398446526
2018-04,9.17977292641944
2018-05,9.413293441659606
2018-06,9.635029972589296
2018-07,9.91995758655279
2018-08,10.25623302281634
2018-09,10.60989623439831
2018-10,11.17210057884266
2018-11,11.824664393504676
2018-12,12.33870604615226
2019-01,12.695280551532148
2019-02,13.02568190171773
2019-03,13.483774664164883
2019-04,14.048250933107912
2019-05,14.624804475807135
2019-06,15.091953844650687
2019-07,15.536265805161843
2019-08,15.915604053430268
2019-09,16.402604376272194
2019-10,17.229751249676845
2019-11,18.004273455604356
2019-12,18.700913598881133
2020-01,19.44705954612988
2020-02,20.01042779879969
2020-03,20.45517776911378
2020-04,20.99011376096078
2020-05,21.498208236295813
2020-06,21.81544199429
2020-07,22.226696497601804
2020-08,22.68124381363137
2020-09,23.19569230999268
2020-10,23.84418900476386
2020-11,24.619790466487416
2020-12,25.494325014237397
2021-01,26.415213633658507
2021-02,27.416019598341496
2021-03,28.51392617008925
2021-04,29.69407504703525
2021-05,31.03539457599852
2021-06,32.1626136169507
2021-07,33.22476999105209
2021-08,34.25364999804607
2021-09,35.17874555801852
2021-10,36.25379125701569
2021-11,37.5018598305703
2021-12,38.64184724801565
2022-01,39.8663771406802
2022-02,41.31983336308377
2022-03,43.18717625383155
2022-04,45.61300020419107
2022-05,48.55477438295316
2022-06,51.200956234065046
2022-07,53.90826610712018
2022-08,57.34690854180202
2022-09,61.405033323159394
2022-10,65.52084379846659
2022-11,69.54837853768335
2022-12,73.49816123487528
2023-01,77.17540524197506
2023-02,81.2233686560971
2023-03,86.60919662767506
2023-04,92.7049165535644
2023-05,100.2975324465702
2023-06,108.28025792570828
2023-07,115.85632642779171
2023-08,122.98697379325591
2023-09,134.30152601960066
2023-10,151.4480003858192
2023-11,166.9945306087121
2023-12,184.93313022070544
2024-01,220.41363967987263
2024-02,269.30251872788403
2024-03,316.3066431462051
2024-04,353.8543389104483
2024-05,389.3957892443965
2024-06,414.0461678745595
2024-07,432.577073692722
2024-08,451.1341612159068
2024-09,469.3334545576064
2024-10,487.6705391131685
2024-11,502.5056432388943
2024-12,515.5161457870975
2025-01,528.6861868790671
2025-02,540.9840754354688
2025-03,554.0686372057726
2025-04,570.7380091512536
2025-05,589.5439254809415
2025-06,601.9387609630243
2025-07,611.4252557976341
2025-08,622.1541075364912
2025-09,633.7826047525905
2025-10,646.6746766468398
2025-11,660.679704714471
2025-12,676.8051911732867
2026-01,694.7725363879947
2026-02,713.5263962254413
2026-03,735.3076309157017
2026-04,758.1179539186766
2026-05,781.1789421755125
2026-06,799.2033267685217
2026-07,815.4345108691568
2026-08,831.7691061144402
